SEQ_NFE;CHAVE_NOTA;COD_UF_EMIT;COD_UF_DEST;TIP_FIN_NFE;SEQ_PROD;COD_CEST;COD_CST;COD_NCM;COD_CFOP;TIP_OPERACAO;EMIT_COD_CNAE;EMIT_CRT;EMIT_IND_SN;DEST_CNAE_PRINC;DEST_IE;DEST_SITUACAO;DEST_IND_SUBLIMITE;DEST_IND_SN;TIPO_IMPOSTO
438158313;35250657407397000158550010006781401735199965;SP;AL;1;2940230204;1400500;0;39249000;6101;;;3;N;4772500;248312650;2;0;S;ANT
438158313;35250657407397000158550010006781401735199965;SP;AL;1;2940230205;1400500;0;39249000;6101;;;3;N;4772500;248312650;2;0;S;ANT
438158313;35250657407397000158550010006781401735199965;SP;AL;1;2940230206;1400500;0;39249000;6101;;;3;N;4772500;248312650;2;0;S;ANT
438158313;35250657407397000158550010006781401735199965;SP;AL;1;2940230207;1400500;0;39249000;6101;;;3;N;4772500;248312650;2;0;S;ANT
438158313;35250657407397000158550010006781401735199965;SP;AL;1;2940230208;1400500;0;39249000;6101;;;3;N;4772500;248312650;2;0;S;ANT
438369731;26250602864261000428550090002479071553597595;PE;AL;1;2941481918;0103500;0;84149039;6108;;;3;N;;;;0;N;DIFAL
438369731;26250602864261000428550090002479071553597595;PE;AL;1;2941481919;0103400;0;84143091;6108;;;3;N;;;;0;N;DIFAL
438369731;26250602864261000428550090002479071553597595;PE;AL;1;2941481920;0111400;0;84159090;6108;;;3;N;;;;0;N;DIFAL
438369731;26250602864261000428550090002479071553597595;PE;AL;1;2941481921;0111400;0;85371090;6108;;;3;N;;;;0;N;DIFAL
438369731;26250602864261000428550090002479071553597595;PE;AL;1;2941481922;0109500;0;84213990;6108;;;3;N;;;;0;N;DIFAL
438369731;26250602864261000428550090002479071553597595;PE;AL;1;2941481923;0109500;0;84213990;6108;;;3;N;;;;0;N;DIFAL
438369731;26250602864261000428550090002479071553597595;PE;AL;1;2941481924;0109500;0;84213990;6108;;;3;N;;;;0;N;DIFAL
438369731;26250602864261000428550090002479071553597595;PE;AL;1;2941481925;;0;29034510;6108;;;3;N;;;;0;N;DIFAL
438369731;26250602864261000428550090002479071553597595;PE;AL;1;2941481926;2804300;0;29171220;6108;;;3;N;;;;0;N;DIFAL
438369731;26250602864261000428550090002479071553597595;PE;AL;1;2941481927;2804300;0;29171220;6108;;;3;N;;;;0;N;DIFAL
438369731;26250602864261000428550090002479071553597595;PE;AL;1;2941481928;0106500;0;85332190;6108;;;3;N;;;;0;N;DIFAL
438369731;26250602864261000428550090002479071553597595;PE;AL;1;2941481929;0103500;0;84149039;6108;;;3;N;;;;0;N;DIFAL
438369731;26250602864261000428550090002479071553597595;PE;AL;1;2941481931;1007900;0;84811000;6108;;;3;N;;;;0;N;DIFAL
436863373;35250624438515000136550010000490401772070748;SP;AL;1;2933763572;2806300;0;35079019;6108;;;3;N;;;;0;N;DIFAL
436863373;35250624438515000136550010000490401772070748;SP;AL;1;2933763573;;0;48195000;6108;;;3;N;;;;0;N;DIFAL
437328347;35250635996241000117550010000955151788387883;SP;AL;1;2935773494;;0;64029990;6108;;;3;N;;;;0;N;DIFAL
437033909;35250644679768000109550030001011901300805353;SP;AL;1;2934503697;;0;87141000;6108;;;3;N;;;;0;N;DIFAL
436508378;41250632068205000103550010002925961450017893;PR;AL;1;2931841906;2806100;0;94036000;6107;;;3;N;;;;0;N;DIFAL
436939418;35250638182228000112550090000813171204072169;SP;AL;1;2934090520;2806100;0;63023200;6108;;;3;N;;;;0;N;DIFAL
438071756;31250601957839000266550020000051271703979498;MG;AL;1;2939779351;;0;33021000;6108;;;3;N;;;;0;N;DIFAL
437320221;35250645708747000137550010006099941821346750;SP;AL;1;2935752017;;0;54031000;6108;;;3;N;;;;0;N;DIFAL
435805057;35250641796832000143550130001480671571691550;SP;AL;1;2928433120;;0;61046900;6102;;;3;N;;;;0;S;DIFAL
436926776;35250624955128000177550030000004311249599529;SP;AL;1;2934028704;2001800;10;33052000;6102;;;2;N;;;;0;N;DIFAL
436828087;35250660453277000100550010000017941544142010;SP;AL;1;2933588071;;0;61045900;6108;;;2;S;;;;0;N;DIFAL
437810428;35250644291352000119550010000067701991799783;SP;AL;1;2938303843;1705300;60;19053100;6404;;4637107;3;N;;;;0;N;DIFAL
437348203;35250639850350000182550010000489651911098096;SP;AL;1;2935970835;;0;44201900;6102;;4789001;3;N;;;;0;N;DIFAL
436928394;35250650219844000104550050000531751395626378;SP;AL;1;2934039410;;0;39229000;6108;;;3;N;;;;0;N;DIFAL
438318929;31250651024456000122550040000671141072223188;MG;AL;1;2941179503;2805600;0;33049990;6108;;;3;N;;;;0;N;DIFAL
437596307;33250614205746000146550020002544171904989060;RJ;AL;1;2937088496;2805800;0;39269090;6102;;;2;S;;;;0;N;DIFAL
437582098;35250651656322000124550040000979001820184937;SP;AL;1;2937046555;;0;96170010;6108;;;3;N;;;;0;N;DIFAL
437245750;35250625015209000150550030001197511741518010;SP;AL;1;2935458220;2805900;0;62105000;6101;;;3;N;;;;0;S;DIFAL
437245750;35250625015209000150550030001197511741518010;SP;AL;1;2935458221;2805900;0;62105000;6101;;;3;N;;;;0;S;DIFAL
437245750;35250625015209000150550030001197511741518010;SP;AL;1;2935458222;2805900;0;62105000;6101;;;3;N;;;;0;S;DIFAL
437245750;35250625015209000150550030001197511741518010;SP;AL;1;2935458223;2805900;0;62105000;6101;;;3;N;;;;0;S;DIFAL
437575451;35250607453487000107550010000038171891652640;SP;AL;1;2937021694;2805700;0;65070000;6108;;;3;N;;;;0;N;DIFAL
437862387;52250649895115000180550010001012521690745324;GO;AL;1;2938522567;;0;39241000;6102;;;3;N;;;;0;N;DIFAL
437341690;31250649265594000151550030000207721673617530;MG;AL;1;2935854628;;0;63079090;6108;;;3;N;;;;0;N;DIFAL
437549769;35250618784087000109550010002876461416620894;SP;AL;1;2936818810;;0;21069030;6108;;;3;N;;;;0;N;DIFAL
437413022;33250610788472000104550010000444861832511956;RJ;AL;1;2936085623;;;25280000;6102;;;1;N;;;;0;N;DIFAL
437941400;35250639269114000177550080000636401896397927;SP;AL;1;2938951289;;0;95030099;6108;;;3;N;;;;0;S;DIFAL
437623802;31250616857384000365550010000762301018018455;MG;AL;1;2937175590;;0;85167100;6108;;;3;N;;;;0;N;DIFAL
438255043;31250638030955000164550010000606441164001808;MG;AL;1;2940891913;;0;40114000;6108;;;3;N;;;;0;N;DIFAL
437704000;35250633163235000153550010018337431960670743;SP;AL;1;2937629403;;0;64041900;6108;;;3;N;;;;0;N;DIFAL
437919035;35250656923266000160550010000805021596455291;SP;AL;1;2938834446;;0;61044900;6108;;;3;N;;;;0;N;DIFAL
438007344;35250628327349000151550010000274871953621272;SP;AL;1;2939314264;;0;62046300;6108;;;2;S;;;;0;N;DIFAL
438007344;35250628327349000151550010000274871953621272;SP;AL;1;2939314265;;0;62046300;6108;;;2;S;;;;0;N;DIFAL
437691071;26250641248067000127550010000059451951845600;PE;AL;1;2937557693;2400100;60;32091010;5405;;;2;N;5510801;243266812;2;0;N;STDIF
437829504;31250640809245000189550020000622461903027420;MG;AL;1;2938382033;2805900;0;64041900;6108;;4782201;3;N;;;;0;N;DIFAL
438232879;35250611723235000128550100001265371912779793;SP;AL;1;2940718570;;0;84142000;6108;;;3;N;;;;0;N;DIFAL
438232879;35250611723235000128550100001265371912779793;SP;AL;1;2940718571;;0;95066200;6108;;;3;N;;;;0;N;DIFAL
436246845;35250633163235000153550040001010751570941177;SP;AL;1;2930466282;2805900;0;64041900;6108;;;3;N;;;;0;N;DIFAL
438130404;35250646532221000101550010003486481126533935;SP;AL;1;2940083332;2002000;0;33059000;6108;;;3;N;;;;0;N;DIFAL
438130404;35250646532221000101550010003486481126533935;SP;AL;1;2940083333;2002000;0;33059000;6108;;;3;N;;;;0;N;DIFAL
437867769;31250658486388000162550010000215011842157559;MG;AL;1;2938536899;;0;64022000;6108;;;3;S;;;;0;N;DIFAL
438957845;26250637562896000102550000000022571299623566;PE;AL;1;2944427959;2805700;0;65069100;6102;;;2;S;4772500;240132092;2;0;S;ANT
438957845;26250637562896000102550000000022571299623566;PE;AL;1;2944427960;2805700;0;65069100;6102;;;2;S;4772500;240132092;2;0;S;ANT
438957845;26250637562896000102550000000022571299623566;PE;AL;1;2944427961;2805700;0;65069100;6102;;;2;S;4772500;240132092;2;0;S;ANT
438957845;26250637562896000102550000000022571299623566;PE;AL;1;2944427962;;0;62014000;6102;;;2;S;4772500;240132092;2;0;S;ANT
438957845;26250637562896000102550000000022571299623566;PE;AL;1;2944427963;2002000;0;33059000;6102;;;2;S;4772500;240132092;2;0;S;ST
