;SEQ_NFE;COD_UF_EMIT;TIP_FIN_NFE;ID_PROD;CEST_COMPLETO;COD_CST;NCM_COMPLETO;CFOP_COMPLETO;EMIT_CNAE_COMPLETO;EMIT_CRT;EMIT_IND_SN;DEST_CNAE_COMPLETO;DEST_SITUACAO;TIPO_IMPOSTO;DEST_IND_SN;DEST_POSSUI_IE;EMIT_CNAE_DIVISAO;EMIT_CNAE_GRUPO;EMIT_CNAE_CLASSE;DEST_CNAE_DIVISAO;DEST_CNAE_GRUPO;DEST_CNAE_CLASSE;NCM_CAPITULO;NCM_POSICAO;NCM_SUBPOSICAO;CFOP_NATUREZA;CFOP_OPERACAO;POSSUI_CEST;CEST_SEGMENTO;CEST_ITEM
7062;437810998;SP;1;2938305083;0;0;63022200;6108;AUSENTE;3;N;AUSENTE;0;DIFAL;0;0;AUSENTE;AUSENTE;AUSENTE;AUSENTE;AUSENTE;AUSENTE;63;6302;630222;6;108;0;AUSENTE;AUSENTE
7063;437629538;PR;1;2937189450;1007300;0;76169900;6108;AUSENTE;3;N;AUSENTE;0;DIFAL;0;0;AUSENTE;AUSENTE;AUSENTE;AUSENTE;AUSENTE;AUSENTE;76;7616;761699;6;108;1;10;10073
7064;437621673;SP;1;2937168556;0;0;62059090;6108;AUSENTE;3;N;AUSENTE;0;DIFAL;0;0;AUSENTE;AUSENTE;AUSENTE;AUSENTE;AUSENTE;AUSENTE;62;6205;620590;6;108;0;AUSENTE;AUSENTE
7065;437621673;SP;1;2937168557;0;0;62059090;6108;AUSENTE;3;N;AUSENTE;0;DIFAL;0;0;AUSENTE;AUSENTE;AUSENTE;AUSENTE;AUSENTE;AUSENTE;62;6205;620590;6;108;0;AUSENTE;AUSENTE
7066;437621673;SP;1;2937168558;0;0;62059090;6108;AUSENTE;3;N;AUSENTE;0;DIFAL;0;0;AUSENTE;AUSENTE;AUSENTE;AUSENTE;AUSENTE;AUSENTE;62;6205;620590;6;108;0;AUSENTE;AUSENTE
7067;437621673;SP;1;2937168559;0;0;62059090;6108;AUSENTE;3;N;AUSENTE;0;DIFAL;0;0;AUSENTE;AUSENTE;AUSENTE;AUSENTE;AUSENTE;AUSENTE;62;6205;620590;6;108;0;AUSENTE;AUSENTE
7068;437027319;PR;1;2934463289;0;0;85122011;6108;AUSENTE;3;N;AUSENTE;0;DIFAL;0;0;AUSENTE;AUSENTE;AUSENTE;AUSENTE;AUSENTE;AUSENTE;85;8512;851220;6;108;0;AUSENTE;AUSENTE
7069;438324180;MG;1;2941204715;0;0;39231090;6403;AUSENTE;3;N;AUSENTE;0;DIFAL;0;0;AUSENTE;AUSENTE;AUSENTE;AUSENTE;AUSENTE;AUSENTE;39;3923;392310;6;403;0;AUSENTE;AUSENTE
7070;437855966;SP;1;2938597150;0;0;54075400;6108;AUSENTE;3;N;AUSENTE;0;DIFAL;0;0;AUSENTE;AUSENTE;AUSENTE;AUSENTE;AUSENTE;AUSENTE;54;5407;540754;6;108;0;AUSENTE;AUSENTE
7071;437854598;PR;1;2938578456;0;0;87141000;6102;45412960;3;N;AUSENTE;0;DIFAL;1;0;45;454;4541;AUSENTE;AUSENTE;AUSENTE;87;8714;871410;6;102;0;AUSENTE;AUSENTE
