;COD_UF_EMIT;TIP_FIN_NFE;ID_PROD;CEST_COMPLETO;COD_CST;NCM_COMPLETO;CFOP_COMPLETO;EMIT_CNAE_COMPLETO;EMIT_CRT;EMIT_IND_SN;DEST_CNAE_COMPLETO;DEST_SITUACAO;TIPO_IMPOSTO;DEST_IND_SN;DEST_POSSUI_IE;EMIT_CNAE_DIVISAO;EMIT_CNAE_GRUPO;EMIT_CNAE_CLASSE;DEST_CNAE_DIVISAO;DEST_CNAE_GRUPO;DEST_CNAE_CLASSE;NCM_CAPITULO;NCM_POSICAO;NCM_SUBPOSICAO;CFOP_NATUREZA;CFOP_OPERACAO;POSSUI_CEST;CEST_SEGMENTO;CEST_ITEM
6646;SP;1;2931721556;0;20;63023200;6107;AUSENTE;3;N;AUSENTE;0;DIFAL;1;0;AUSENTE;AUSENTE;AUSENTE;AUSENTE;AUSENTE;AUSENTE;63;6302;630232;6;107;0;AUSENTE;AUSENTE
6647;SP;1;2933781685;0;0;44219100;6108;AUSENTE;3;N;AUSENTE;0;DIFAL;0;0;AUSENTE;AUSENTE;AUSENTE;AUSENTE;AUSENTE;AUSENTE;44;4421;442191;6;108;0;AUSENTE;AUSENTE
6648;SP;1;2933781686;0;0;84529099;6108;AUSENTE;3;N;AUSENTE;0;DIFAL;0;0;AUSENTE;AUSENTE;AUSENTE;AUSENTE;AUSENTE;AUSENTE;84;8452;845290;6;108;0;AUSENTE;AUSENTE
6649;SP;1;2933667675;0;0;62046100;6108;AUSENTE;3;N;AUSENTE;0;DIFAL;0;0;AUSENTE;AUSENTE;AUSENTE;AUSENTE;AUSENTE;AUSENTE;62;6204;620461;6;108;0;AUSENTE;AUSENTE
6650;SP;1;2935144328;301301;0;21069030;6102;AUSENTE;3;N;AUSENTE;0;DIFAL;0;0;AUSENTE;AUSENTE;AUSENTE;AUSENTE;AUSENTE;AUSENTE;21;2106;210690;6;102;1;30;30130
6651;MG;1;2934465731;0;0;08013200;6108;AUSENTE;3;N;AUSENTE;0;DIFAL;0;0;AUSENTE;AUSENTE;AUSENTE;AUSENTE;AUSENTE;AUSENTE;08;0801;080132;6;108;0;AUSENTE;AUSENTE
6652;SP;1;2933628978;1111111;60;95069100;6404;AUSENTE;3;N;AUSENTE;0;DIFAL;0;0;AUSENTE;AUSENTE;AUSENTE;AUSENTE;AUSENTE;AUSENTE;95;9506;950691;6;404;1;11;11111
6653;RJ;1;2930790298;0;0;62121000;6108;AUSENTE;3;N;AUSENTE;0;DIFAL;0;0;AUSENTE;AUSENTE;AUSENTE;AUSENTE;AUSENTE;AUSENTE;62;6212;621210;6;108;0;AUSENTE;AUSENTE
6654;SP;1;2934936426;2105000;0;85167920;6108;46516010;3;N;AUSENTE;0;DIFAL;1;0;46;465;4651;AUSENTE;AUSENTE;AUSENTE;85;8516;851679;6;108;1;21;21050
6655;SP;1;2934128048;107500;0;87082999;6108;45307010;3;N;AUSENTE;0;DIFAL;0;0;45;453;4530;AUSENTE;AUSENTE;AUSENTE;87;8708;870829;6;108;1;10;10750
6656;SP;1;2935411346;2805900;0;64029990;6107;AUSENTE;3;N;AUSENTE;0;DIFAL;1;0;AUSENTE;AUSENTE;AUSENTE;AUSENTE;AUSENTE;AUSENTE;64;6402;640299;6;107;1;28;28059
